geos_chem run at 20210104, 10:43:57
temp_res: 0030  nstep: 0015
step,  mem_st,  mem_end,  year_st,  year_end, doy_st,  doy_end,  ch4flnm, output_name, index_method
000, 0001, 0037, 2014, 2014, 001, 091,CH4_EMISSION.2014D001,ST000.EN0001-EN0037,0
001, 0001, 0037, 2014, 2014, 032, 121,CH4_EMISSION.2014D032,ST001.EN0001-EN0037,0
002, 0001, 0037, 2014, 2014, 060, 152,CH4_EMISSION.2014D060,ST002.EN0001-EN0037,0
003, 0001, 0037, 2014, 2014, 091, 182,CH4_EMISSION.2014D091,ST003.EN0001-EN0037,0
004, 0001, 0037, 2014, 2014, 121, 213,CH4_EMISSION.2014D121,ST004.EN0001-EN0037,0
005, 0001, 0037, 2014, 2014, 152, 244,CH4_EMISSION.2014D152,ST005.EN0001-EN0037,0
006, 0001, 0037, 2014, 2014, 182, 274,CH4_EMISSION.2014D182,ST006.EN0001-EN0037,0
007, 0001, 0037, 2014, 2014, 213, 305,CH4_EMISSION.2014D213,ST007.EN0001-EN0037,0
008, 0001, 0037, 2014, 2014, 244, 335,CH4_EMISSION.2014D244,ST008.EN0001-EN0037,0
009, 0001, 0037, 2014, 2015, 274, 001,CH4_EMISSION.2014D274,ST009.EN0001-EN0037,0
010, 0001, 0037, 2014, 2015, 305, 032,CH4_EMISSION.2014D305,ST010.EN0001-EN0037,0
011, 0001, 0037, 2014, 2015, 335, 060,CH4_EMISSION.2014D335,ST011.EN0001-EN0037,0
012, 0001, 0037, 2015, 2015, 001, 091,CH4_EMISSION.2015D001,ST000.EN0001-EN0037,0
013, 0001, 0037, 2015, 2015, 032, 121,CH4_EMISSION.2015D032,ST001.EN0001-EN0037,0
014, 0001, 0037, 2015, 2015, 060, 152,CH4_EMISSION.2015D060,ST002.EN0001-EN0037,0
015, 0001, 0037, 2015, 2015, 091, 182,CH4_EMISSION.2015D091,ST003.EN0001-EN0037,0
016, 0001, 0037, 2015, 2015, 121, 213,CH4_EMISSION.2015D121,ST004.EN0001-EN0037,0
017, 0001, 0037, 2015, 2015, 152, 244,CH4_EMISSION.2015D152,ST005.EN0001-EN0037,0
018, 0001, 0037, 2015, 2015, 182, 274,CH4_EMISSION.2015D182,ST006.EN0001-EN0037,0
019, 0001, 0037, 2015, 2015, 213, 305,CH4_EMISSION.2015D213,ST007.EN0001-EN0037,0
020, 0001, 0037, 2015, 2015, 244, 335,CH4_EMISSION.2015D244,ST008.EN0001-EN0037,0
021, 0001, 0037, 2015, 2016, 274, 001,CH4_EMISSION.2015D274,ST009.EN0001-EN0037,0
022, 0001, 0037, 2015, 2016, 305, 032,CH4_EMISSION.2015D305,ST010.EN0001-EN0037,0
023, 0001, 0037, 2015, 2016, 335, 061,CH4_EMISSION.2015D335,ST011.EN0001-EN0037,0
024, 0001, 0037, 2016, 2016, 001, 092,CH4_EMISSION.2016D001,ST000.EN0001-EN0037,0
025, 0001, 0037, 2016, 2016, 032, 122,CH4_EMISSION.2016D032,ST001.EN0001-EN0037,0
026, 0001, 0037, 2016, 2016, 061, 153,CH4_EMISSION.2016D061,ST002.EN0001-EN0037,0
027, 0001, 0037, 2016, 2016, 092, 183,CH4_EMISSION.2016D092,ST003.EN0001-EN0037,0
028, 0001, 0037, 2016, 2016, 122, 214,CH4_EMISSION.2016D122,ST004.EN0001-EN0037,0
029, 0001, 0037, 2016, 2016, 153, 245,CH4_EMISSION.2016D153,ST005.EN0001-EN0037,0
