geos_chem run at 20211116, 15:03:40
temp_res: 0030  nstep: 0015
step,  mem_st,  mem_end,  year_st,  year_end, doy_st,  doy_end,  ch4flnm, output_name, index_method
000, 0001, 0093, 2018, 2018, 121, 213,CH4_EMISSION.2018D121,ST004.EN0001-EN0093,0
001, 0001, 0093, 2018, 2018, 152, 244,CH4_EMISSION.2018D152,ST005.EN0001-EN0093,0
002, 0001, 0093, 2018, 2018, 182, 274,CH4_EMISSION.2018D182,ST006.EN0001-EN0093,0
003, 0001, 0093, 2018, 2018, 213, 305,CH4_EMISSION.2018D213,ST007.EN0001-EN0093,0
004, 0001, 0093, 2018, 2018, 244, 335,CH4_EMISSION.2018D244,ST008.EN0001-EN0093,0
005, 0001, 0093, 2018, 2019, 274, 001,CH4_EMISSION.2018D274,ST009.EN0001-EN0093,0
006, 0001, 0093, 2018, 2019, 305, 032,CH4_EMISSION.2018D305,ST010.EN0001-EN0093,0
007, 0001, 0093, 2018, 2019, 335, 060,CH4_EMISSION.2018D335,ST011.EN0001-EN0093,0
008, 0001, 0093, 2019, 2019, 001, 091,CH4_EMISSION.2019D001,ST000.EN0001-EN0093,0
009, 0001, 0093, 2019, 2019, 032, 121,CH4_EMISSION.2019D032,ST001.EN0001-EN0093,0
010, 0001, 0093, 2019, 2019, 060, 152,CH4_EMISSION.2019D060,ST002.EN0001-EN0093,0
011, 0001, 0093, 2019, 2019, 091, 182,CH4_EMISSION.2019D091,ST003.EN0001-EN0093,0
012, 0001, 0093, 2019, 2019, 121, 213,CH4_EMISSION.2019D121,ST004.EN0001-EN0093,0
013, 0001, 0093, 2019, 2019, 152, 244,CH4_EMISSION.2019D152,ST005.EN0001-EN0093,0
014, 0001, 0093, 2019, 2019, 182, 274,CH4_EMISSION.2019D182,ST006.EN0001-EN0093,0
015, 0001, 0093, 2019, 2019, 213, 305,CH4_EMISSION.2019D213,ST007.EN0001-EN0093,0
016, 0001, 0093, 2019, 2019, 244, 335,CH4_EMISSION.2019D244,ST008.EN0001-EN0093,0
017, 0001, 0093, 2019, 2020, 274, 001,CH4_EMISSION.2019D274,ST009.EN0001-EN0093,0
018, 0001, 0093, 2019, 2020, 305, 032,CH4_EMISSION.2019D305,ST010.EN0001-EN0093,0
019, 0001, 0093, 2019, 2020, 335, 061,CH4_EMISSION.2019D335,ST011.EN0001-EN0093,0
020, 0001, 0093, 2020, 2020, 001, 092,CH4_EMISSION.2020D001,ST000.EN0001-EN0093,0
021, 0001, 0093, 2020, 2020, 032, 122,CH4_EMISSION.2020D032,ST001.EN0001-EN0093,0
022, 0001, 0093, 2020, 2020, 061, 153,CH4_EMISSION.2020D061,ST002.EN0001-EN0093,0
023, 0001, 0093, 2020, 2020, 092, 183,CH4_EMISSION.2020D092,ST003.EN0001-EN0093,0
024, 0001, 0093, 2020, 2020, 122, 214,CH4_EMISSION.2020D122,ST004.EN0001-EN0093,0
025, 0001, 0093, 2020, 2020, 153, 245,CH4_EMISSION.2020D153,ST005.EN0001-EN0093,0
026, 0001, 0093, 2020, 2020, 183, 275,CH4_EMISSION.2020D183,ST006.EN0001-EN0093,0
027, 0001, 0093, 2020, 2020, 214, 306,CH4_EMISSION.2020D214,ST007.EN0001-EN0093,0
028, 0001, 0093, 2020, 2020, 245, 336,CH4_EMISSION.2020D245,ST008.EN0001-EN0093,0
029, 0001, 0093, 2020, 2021, 275, 001,CH4_EMISSION.2020D275,ST009.EN0001-EN0093,0
030, 0001, 0093, 2020, 2021, 306, 032,CH4_EMISSION.2020D306,ST010.EN0001-EN0093,0
031, 0001, 0093, 2020, 2021, 336, 060,CH4_EMISSION.2020D336,ST011.EN0001-EN0093,0
