geos_chem run at 20220530, 08:44:29
temp_res: 0030  nstep: 0015
step,  mem_st,  mem_end,  year_st,  year_end, doy_st,  doy_end,  ch4flnm, output_name, index_method
000, 0001, 0093, 2020, 2020, 001, 092,CH4_EMISSION.2020D001,ST000.EN0001-EN0093,0
001, 0001, 0093, 2020, 2020, 032, 122,CH4_EMISSION.2020D032,ST001.EN0001-EN0093,0
002, 0001, 0093, 2020, 2020, 061, 153,CH4_EMISSION.2020D061,ST002.EN0001-EN0093,0
003, 0001, 0093, 2020, 2020, 092, 183,CH4_EMISSION.2020D092,ST003.EN0001-EN0093,0
004, 0001, 0093, 2020, 2020, 122, 214,CH4_EMISSION.2020D122,ST004.EN0001-EN0093,0
005, 0001, 0093, 2020, 2020, 153, 245,CH4_EMISSION.2020D153,ST005.EN0001-EN0093,0
006, 0001, 0093, 2020, 2020, 183, 275,CH4_EMISSION.2020D183,ST006.EN0001-EN0093,0
007, 0001, 0093, 2020, 2020, 214, 306,CH4_EMISSION.2020D214,ST007.EN0001-EN0093,0
008, 0001, 0093, 2020, 2020, 245, 336,CH4_EMISSION.2020D245,ST008.EN0001-EN0093,0
009, 0001, 0093, 2020, 2021, 275, 001,CH4_EMISSION.2020D275,ST009.EN0001-EN0093,0
010, 0001, 0093, 2020, 2021, 306, 032,CH4_EMISSION.2020D306,ST010.EN0001-EN0093,0
011, 0001, 0093, 2020, 2021, 336, 060,CH4_EMISSION.2020D336,ST011.EN0001-EN0093,0
